from,to,type,count
"core.yaml","jsonapi.yaml","file_ref",387
"items.yaml","jsonapi.yaml","file_ref",325
"salesDoc.yaml","jsonapi.yaml","file_ref",194
"surveyDoc.yaml","jsonapi.yaml","file_ref",126
"purchaseDoc.yaml","jsonapi.yaml","file_ref",117
"hierarchies.yaml","jsonapi.yaml","file_ref",107
"customers.yaml","jsonapi.yaml","file_ref",102
"tasks.yaml","jsonapi.yaml","file_ref",101
"accessControl.yaml","jsonapi.yaml","file_ref",100
"clusters.yaml","jsonapi.yaml","file_ref",95
"warehouseDoc.yaml","jsonapi.yaml","file_ref",90
"documents.yaml","jsonapi.yaml","file_ref",90
"commissions.yaml","jsonapi.yaml","file_ref",90
"items.yaml","core.yaml","file_ref",82
"entityAttributes.yaml","jsonapi.yaml","file_ref",79
"openapi.yaml","core.yaml","file_ref",76
"discountlists.yaml","jsonapi.yaml","file_ref",61
"customers.yaml","core.yaml","file_ref",58
"target.yaml","jsonapi.yaml","file_ref",56
"purchaseDoc.yaml","documents.yaml","file_ref",56
"pricelists.yaml","jsonapi.yaml","file_ref",55
"openapi.yaml","items.yaml","file_ref",54
"salesDoc.yaml","core.yaml","file_ref",52
"inventoryDoc.yaml","jsonapi.yaml","file_ref",49
"collectionDoc.yaml","jsonapi.yaml","file_ref",47
"authWorkflows.yaml","jsonapi.yaml","file_ref",44
"warehouseDoc.yaml","documents.yaml","file_ref",43
"tickets.yaml","jsonapi.yaml","file_ref",43
"workSessions.yaml","jsonapi.yaml","file_ref",43
"messages.yaml","jsonapi.yaml","file_ref",41
"payments.yaml","jsonapi.yaml","file_ref",41
"digitalContents.yaml","jsonapi.yaml","file_ref",41
"salesReps.yaml","jsonapi.yaml","file_ref",41
"checkpoints.yaml","jsonapi.yaml","file_ref",39
"suppliers.yaml","jsonapi.yaml","file_ref",39
"priceCondition.yaml","jsonapi.yaml","file_ref",37
"cashDepositDoc.yaml","jsonapi.yaml","file_ref",37
"budgets.yaml","jsonapi.yaml","file_ref",34
"openapi.yaml","salesDoc.yaml","file_ref",33
"devices.yaml","jsonapi.yaml","file_ref",33
"documents.yaml","core.yaml","file_ref",28
"core.yaml","core.yaml","file_ref",28
"openapi.yaml","purchaseDoc.yaml","file_ref",28
"customerContracts.yaml","jsonapi.yaml","file_ref",27
"greyMarketSurvey.yaml","jsonapi.yaml","file_ref",27
"communications.yaml","jsonapi.yaml","file_ref",27
"plants.yaml","jsonapi.yaml","file_ref",25
"openapi.yaml","customers.yaml","file_ref",24
"openapi.yaml","surveyDoc.yaml","file_ref",24
"openapi.yaml","accessControl.yaml","file_ref",22
"certificates.yaml","jsonapi.yaml","file_ref",20
"openapi.yaml","warehouseDoc.yaml","file_ref",20
"clusters.yaml","core.yaml","file_ref",20
"salesDoc.yaml","documents.yaml","file_ref",20
"openapi.yaml","hierarchies.yaml","file_ref",19
"stats.yaml","jsonapi.yaml","file_ref",18
"purchaseDoc.yaml","core.yaml","file_ref",17
"commissions.yaml","core.yaml","file_ref",17
"hierarchies.yaml","core.yaml","file_ref",17
"openapi.yaml","entityAttributes.yaml","file_ref",16
"openapi.yaml","clusters.yaml","file_ref",16
"suppliers.yaml","core.yaml","file_ref",15
"customers.yaml::CustomerAccountAttributes","customers.yaml::SimpleEntity","external_schema_ref",15
"salesDoc.yaml::SalesDocHeaderAttributes","salesDoc.yaml::SimpleEntity","external_schema_ref",15
"warehouseDoc.yaml","core.yaml","file_ref",14
"openapi.yaml","tasks.yaml","file_ref",14
"salesReps.yaml","core.yaml","file_ref",14
"customerContacts.yaml","jsonapi.yaml","file_ref",13
"openapi.yaml","ontag/sourcing.yaml","file_ref",13
"items.yaml::ItemRelationships","items.yaml::relToOne","external_schema_ref",13
"discountlists.yaml","core.yaml","file_ref",12
"core.yaml","dataTypes.yaml","file_ref",12
"openapi.yaml","commissions.yaml","file_ref",12
"inventoryDoc.yaml","documents.yaml","file_ref",11
"entityAttributes.yaml","core.yaml","file_ref",11
"items.yaml","dataTypes.yaml","file_ref",11
"vehicles.yaml","jsonapi.yaml","file_ref",11
"entitySets.yaml","jsonapi.yaml","file_ref",11
"openapi.yaml","documents.yaml","file_ref",11
"workSessions.yaml","core.yaml","file_ref",11
"collectionDoc.yaml","core.yaml","file_ref",11
"surveyDoc.yaml","core.yaml","file_ref",11
"salesDoc.yaml::SalesDocLineAttributes","salesDoc.yaml::SimpleEntity","external_schema_ref",11
"comments.yaml","jsonapi.yaml","file_ref",10
"cashDepositDoc.yaml","core.yaml","file_ref",10
"documents.yaml","dataTypes.yaml","file_ref",10
"openapi.yaml","pricelists.yaml","file_ref",10
"pricelists.yaml","core.yaml","file_ref",10
"tasks.yaml","core.yaml","file_ref",10
"recurrences.yaml","jsonapi.yaml","file_ref",10
"items.yaml::ItemAttributes","items.yaml::SimpleEntity","external_schema_ref",10
"workSessions.yaml::WorkSession","workSessions.yaml::relToOneReadOnly","external_schema_ref",10
"salesDoc.yaml::SalesDocHeaderUpdateData","salesDoc.yaml::relToOne","external_schema_ref",10
"inventoryDoc.yaml","core.yaml","file_ref",9
"commissions.yaml","dataTypes.yaml","file_ref",9
"accessControl.yaml","core.yaml","file_ref",9
"openapi.yaml","checkpoints.yaml","file_ref",9
"openapi.yaml","discountlists.yaml","file_ref",9
"openapi.yaml","workSessions.yaml","file_ref",9
"openapi.yaml","target.yaml","file_ref",9
"core.yaml::WarehouseJournalEntry","core.yaml::relToOneWithMeta","external_schema_ref",9
"priceCondition.yaml","core.yaml","file_ref",8
"authWorkflows.yaml","core.yaml","file_ref",8
"entityAttributes.yaml","entityAttributes.yaml","file_ref",8
"payments.yaml","core.yaml","file_ref",8
"budgets.yaml","core.yaml","file_ref",8
"openapi.yaml","priceCondition.yaml","file_ref",8
"openapi.yaml","payments.yaml","file_ref",8
"openapi.yaml","collectionDoc.yaml","file_ref",8
"openapi.yaml","budgets.yaml","file_ref",8
"openapi.yaml","salesReps.yaml","file_ref",8
"openapi.yaml","messages.yaml","file_ref",8
"openapi.yaml","b2b/marketplaces.yaml","file_ref",8
"priceCondition.yaml::PriceSearch","priceCondition.yaml::SearchKey","internal_schema_ref",8
"priceCondition.yaml::PriceCondition","priceCondition.yaml::SearchKeyValue","internal_schema_ref",8
"customers.yaml::CustomerAccountRelationships","customers.yaml::relToOne","external_schema_ref",8
