node,outDegree,inDegree,total
"core.yaml",438,619,1057
"jsonapi.yaml",2,3005,3007
"items.yaml",426,63,489
"salesDoc.yaml",279,33,312
"surveyDoc.yaml",153,25,178
"purchaseDoc.yaml",197,28,225
"hierarchies.yaml",133,19,152
"customers.yaml",172,28,200
"tasks.yaml",116,22,138
"accessControl.yaml",116,22,138
"clusters.yaml",122,18,140
"commissions.yaml",116,12,128
"documents.yaml",132,160,292
"warehouseDoc.yaml",151,21,172
"entityAttributes.yaml",100,41,141
"openapi.yaml",576,0,576
"discountlists.yaml",78,10,88
"target.yaml",64,10,74
"pricelists.yaml",70,10,80
"inventoryDoc.yaml",69,7,76
"collectionDoc.yaml",63,8,71
"authWorkflows.yaml",59,7,66
"tickets.yaml",49,4,53
"workSessions.yaml",61,9,70
"digitalContents.yaml",44,8,52
"messages.yaml",47,8,55
"payments.yaml",52,8,60
"salesReps.yaml",62,9,71
"checkpoints.yaml",46,9,55
"suppliers.yaml",58,8,66
"cashDepositDoc.yaml",51,7,58
"priceCondition.yaml",47,8,55
"budgets.yaml",44,8,52
"devices.yaml",38,7,45
"communications.yaml",29,6,35
"customerContracts.yaml",38,5,43
"greyMarketSurvey.yaml",33,4,37
"plants.yaml",30,5,35
"certificates.yaml",28,4,32
"stats.yaml",19,4,23
"customers.yaml::CustomerAccountAttributes",20,3,23
"customers.yaml::SimpleEntity",0,16,16
"salesDoc.yaml::SalesDocHeaderAttributes",18,1,19
"salesDoc.yaml::SimpleEntity",0,32,32
"customerContacts.yaml",16,3,19
"ontag/sourcing.yaml",0,13,13
"items.yaml::ItemRelationships",18,4,22
"items.yaml::relToOne",0,37,37
"dataTypes.yaml",0,163,163
"entitySets.yaml",11,2,13
"vehicles.yaml",12,2,14
"salesDoc.yaml::SalesDocLineAttributes",16,2,18
"comments.yaml",12,2,14
"recurrences.yaml",16,2,18
"items.yaml::ItemAttributes",17,4,21
"items.yaml::SimpleEntity",0,18,18
"salesDoc.yaml::SalesDocHeaderUpdateData",13,1,14
"salesDoc.yaml::relToOne",0,34,34
"workSessions.yaml::WorkSession",17,3,20
"workSessions.yaml::relToOneReadOnly",0,10,10
"core.yaml::WarehouseJournalEntry",12,1,13
"core.yaml::relToOneWithMeta",0,21,21
"b2b/marketplaces.yaml",0,8,8
"customers.yaml::CustomerAccountRelationships",11,1,12
"customers.yaml::relToOne",0,18,18
"priceCondition.yaml::PriceSearch",10,1,11
"priceCondition.yaml::SearchKey",0,8,8
"priceCondition.yaml::PriceCondition",16,3,19
"priceCondition.yaml::SearchKeyValue",0,8,8
"purchaseDoc.yaml::GET /purchase-docs/reading/headers/{headerId}/aggregated-data",11,0,11
"documents.yaml::UNDEFINED_SCHEMA",0,25,25
"warehouseDoc.yaml::GET /warehouse-docs/reading/headers/{headerId}/aggregated-data",11,0,11
"businessHours.yaml::BusinessHours",8,1,9
"businessHours.yaml::DaySchedule",1,7,8
"commissions.yaml::SalesDocLineCommission",7,1,8
"commissions.yaml::relToOne",0,15,15
"items.yaml::WarehouseItemEntryRelationships",11,1,12
"items.yaml::relToOneWithMeta",0,24,24
"purchaseDoc.yaml::PurchaseDocReading",11,1,12
"purchaseDoc.yaml::relToOne",0,15,15
"salesDoc.yaml::SalesDocHeaderCreationData",8,1,9
"notifications.yaml",11,2,13
"commissions.yaml::CommissionSession",14,2,16
"core.yaml::GET /roles",8,0,8
"jsonapi.yaml::UNDEFINED_SCHEMA",0,993,993
"core.yaml::GET /languages",8,0,8
"core.yaml::GET /countries",8,0,8
"core.yaml::GET /warehouses",9,0,9
"core.yaml::GET /taxes/tax-regimes",8,0,8
"customers.yaml::GET /customer-accounts",10,0,10
"documents.yaml::GET /doc-types",8,0,8
"items.yaml::GET /nutrition-facts",8,0,8
"plants.yaml::PlantDetailRelationships",6,1,7
"plants.yaml::relToOneWithMeta",0,6,6
"salesDoc.yaml::SalesDocLineRelationships",8,2,10
"tickets.yaml::Ticket",10,2,12
"tickets.yaml::relToOne",0,9,9
"vehicles.yaml::GET /vehicles",8,0,8
"warehouseDoc.yaml::WarehouseDocReading",10,1,11
"warehouseDoc.yaml::relToOne",0,7,7
"identities.yaml",7,4,11
"b2b/catalog.yaml",0,5,5
"widgets.yaml",5,5,10
"accessControl.yaml::AccessJournalEntryRelationships",11,1,12
"accessControl.yaml::relToOneWithMetaReadOnly",0,5,5
"authWorkflows.yaml::GET /auth-workflows",8,0,8
"authWorkflows.yaml::GET /auth-workflows/auth-steps",7,0,7
"budgets.yaml::Budget",15,3,18
"budgets.yaml::relToOne",0,5,5
"budgets.yaml::GET /budgets",8,0,8
"cashDepositDoc.yaml::GET /cash-deposit-docs/headers",8,0,8
"certificates.yaml::GET /certificate-types",8,0,8
"certificates.yaml::GET /certificates",8,0,8
"checkpoints.yaml::GET /checkpoints",7,0,7
"clusters.yaml::CustomerItemSelection",6,3,9
"clusters.yaml::relToOne",0,14,14
"clusters.yaml::EligibleItemForClusterValue",8,2,10
"clusters.yaml::SimpleEntity",0,8,8
"clusters.yaml::GET /clusters/{id}/items",7,0,7
"clusters.yaml::GET /clusters/{id}/customer-accounts",7,0,7
"collectionDoc.yaml::CollectionDocLedgerEntry",7,1,8
"collectionDoc.yaml::relToOne",0,10,10
"collectionDoc.yaml::GET /collection-docs/headers",8,0,8
"commissions.yaml::GET /commission-sessions",8,0,8
"commissions.yaml::GET /commission-sessions/{id}/cut-off",7,0,7
"commissions.yaml::GET /commission-sessions/{id}/sales-doc-lines",7,0,7
"communications.yaml::GET /communications",8,0,8
"core.yaml::GET /user-profiles/{id}/permissions",7,0,7
"core.yaml::GET /user-registration-requests",7,0,7
"core.yaml::GET /apps",7,0,7
"core.yaml::GET /apps/{id}/custom-views",8,0,8
"core.yaml::GET /roles/{id}/permissions",7,0,7
"core.yaml::GET /currencies",7,0,7
"core.yaml::GET /units-of-measurement",7,0,7
"core.yaml::GET /tags",7,0,7
"core.yaml::GET /note-types",7,0,7
"core.yaml::GET /warehouse-journal-entries",8,0,8
"core.yaml::GET /permissions",7,0,7
"core.yaml::GET /entities/{entityName}/{entityObjectId}/app-events",7,0,7
"core.yaml::GET /sales-points",8,0,8
"core.yaml::GET /sales-points/{id}/warehouses",7,0,7
"core.yaml::GET /sales-departments",8,0,8
"customerContracts.yaml::GET /customer-contracts",8,0,8
"customerContracts.yaml::GET /customer-contracts/assets",8,0,8
"customers.yaml::CustomerAccountRelationshipsLite",5,1,6
"customers.yaml::GET /customers",7,0,7
"customers.yaml::GET /customers/{id}/calendar-events",8,0,8
"devices.yaml::GET /devices/{id}/apps",7,0,7
"devices.yaml::GET /devices",7,0,7
"digitalContents.yaml::GET /contents/categories",7,0,7
"discountlists.yaml::CustomerDiscountList",9,3,12
"discountlists.yaml::relToOne",0,11,11
"discountlists.yaml::GET /discount-lists",7,0,7
"discountlists.yaml::GET /discount-lists/{discountListId}/details",7,0,7
"documents.yaml::DocHeaderAttributes",13,1,14
"documents.yaml::SimpleEntityReadOnly",0,7,7
"documents.yaml::GET /doc-categories",7,0,7
"documents.yaml::GET /reasons/{reasonId}/blocks",7,0,7
"documents.yaml::GET /reasons",8,0,8
"entityAttributes.yaml::GET /sheets",7,0,7
"entitySets.yaml::GET /entity-sets",7,0,7
"hierarchies.yaml::GET /hierarchies",7,0,7
"hierarchies.yaml::GET /hierarchies/{hierarchyId}/hierarchy-nodes/{nodeId}/children",7,0,7
"hierarchies.yaml::GET /hierarchies/{hierarchyId}/hierarchy-nodes/{nodeId}/hierarchy-node-user-profiles",7,0,7
"hierarchies.yaml::GET /hierarchies/{hierarchyId}/hierarchy-nodes/{nodeId}/customer-accounts",7,0,7
"hierarchies.yaml::GET /hierarchies/nodes",8,0,8
"items.yaml::FullItem",9,1,10
"items.yaml::relToMany",0,8,8
"items.yaml::GET /items",10,0,10
"items.yaml::GET /item-statuses",7,0,7
"items.yaml::GET /item-instances/{id}/line-instances",7,0,7
"items.yaml::GET /item-instances/availability",8,0,8
"items.yaml::GET /items/{itemId}/nutrition-facts",6,0,6
"items.yaml::GET /items/{originalItemId}/relations/{relationTypeId}",9,0,9
"messages.yaml::GET /messages/incoming",7,0,7
"messages.yaml::GET /messages/recipients",7,0,7
"messages.yaml::GET /messages/sent",7,0,7
"payments.yaml::GET /payment-conditions",7,0,7
"payments.yaml::GET /payment-conditions/{paymentConditionId}/instalments",7,0,7
"payments.yaml::GET /payment-methods",8,0,8
"plants.yaml::GET /plants",8,0,8
"plants.yaml::GET /plants/{id}/details",7,0,7
"priceCondition.yaml::GET /price-conditions",7,0,7
"pricelists.yaml::PriceListParty",7,3,10
"pricelists.yaml::relToOne",0,12,12
"pricelists.yaml::GET /price-lists",8,0,8
"purchaseDoc.yaml::GET /purchase-docs/lines",9,0,9
"recurrences.yaml::GET /recurrence-values",8,0,8
"salesDoc.yaml::ExceededBudgetLimit",5,1,6
"salesDoc.yaml::relToOneWithMeta",0,14,14
"salesDoc.yaml::GET /sales-docs/headers/{id}/lines",7,0,7
"salesDoc.yaml::GET /sales-docs/headers",9,0,9
"salesDoc.yaml::GET /sales-docs/lines",9,0,9
"salesDoc.yaml::GET /sales-docs/doc-types",8,0,8
"salesDoc.yaml::GET /sales-docs/headers/{id}/items",7,0,7
"salesDoc.yaml::GET /shipping-costs",8,0,8
"salesReps.yaml::SalesRep",10,3,13
"salesReps.yaml::relToOneWithMeta",0,5,5
"salesReps.yaml::GET /sales-reps",9,0,9
"salesReps.yaml::GET /sales-reps/{id}/calendar-events",8,0,8
"suppliers.yaml::GET /suppliers",9,0,9
"suppliers.yaml::POST /suppliers/export",9,0,9
"core.yaml::UNDEFINED_SCHEMA",0,179,179
"surveyDoc.yaml::GET /survey-docs/templates/{templateId}/template-sections",7,0,7
"surveyDoc.yaml::GET /survey-docs/attachments",8,0,8
"surveyDoc.yaml::GET /survey-docs/templates/{templateId}/clusters",7,0,7
"target.yaml::Target",12,3,15
"target.yaml::relToOneWithMeta",0,10,10
"target.yaml::TargetValue",8,3,11
"tasks.yaml::GET /tasks",8,0,8
"tasks.yaml::GET /tasks/outcomes",7,0,7
"tasks.yaml::GET /tasks/types",7,0,7
"tasks.yaml::GET /tasks/{id}/actions",7,0,7
"tasks.yaml::GET /calendars",7,0,7
"tickets.yaml::GET /tickets",8,0,8
"tickets.yaml::GET /tickets/types",8,0,8
"tickets.yaml::GET /tickets/reasons",8,0,8
"workSessions.yaml::GET /work-sessions",8,0,8
"accessControl.yaml::relToOne",0,11,11
"accessControl.yaml::GET /zones",7,0,7
"accessControl.yaml::GET /zones/{id}/sub-zones",6,0,6
"accessControl.yaml::GET /access/gates",7,0,7
"accessControl.yaml::GET /badge-holders/last-accesses",7,0,7
"authWorkflows.yaml::GET /auth-workflows/actions",7,0,7
"budgets.yaml::GET /budgets/{id}/targets",7,0,7
"cashDepositDoc.yaml::GET /cash-deposit-docs/headers/{id}/payments",6,0,6
"cashDepositDoc.yaml::GET /cash-deposit-docs/headers/{id}/collections",6,0,6
"certificates.yaml::Certificate",5,2,7
"certificates.yaml::apiDate",0,4,4
"checkpoints.yaml::Checkpoint",5,2,7
"checkpoints.yaml::relToOne",0,10,10
"checkpoints.yaml::UpsertCheckpoint",5,1,6
"checkpoints.yaml::GET /checkpoints/{id}/tag-associations",6,0,6
"clusters.yaml::GET /clusters",7,0,7
"clusters.yaml::GET /clusters/{id}/customer-item-selections",6,0,6
"clusters.yaml::GET /clusters/{clusterId}/customer-item-selections/links",6,0,6
"collectionDoc.yaml::GET /collection-docs/headers/{id}/ledger-entries",5,0,5
"collectionDoc.yaml::GET /collection-docs/headers/{id}/payments",5,0,5
"commissions.yaml::GET /commission-sessions/cut-off",6,0,6
"commissions.yaml::GET /commissions",7,0,7
"core.yaml::AppEvent",5,2,7
"core.yaml::ReportQueueEntry",9,2,11
"core.yaml::apiDateTimeReadOnly",0,4,4
"core.yaml::GET /user-profiles/{id}/contacts",6,0,6
"core.yaml::GET /user-profiles",6,0,6
"core.yaml::GET /organizations",6,0,6
"core.yaml::GET /dict/{entityName}",6,0,6
"core.yaml::GET /entities/{entityName}/{entityObjectId}/notes",6,0,6
"core.yaml::GET /taxes/tax-rate-groups",7,0,7
"core.yaml::GET /taxes/tax-rates",6,0,6
"core.yaml::GET /accounting-periods",6,0,6
"customers.yaml::GET /customer-accounts/{id}/tasks",7,0,7
"devices.yaml::GET /devices/{id}/installable-apps",6,0,6
"digitalContents.yaml::GET /contents/types",6,0,6
"discountlists.yaml::DiscountList",11,3,14
"discountlists.yaml::GET /discount-lists/{discountListId}/customer-accounts",6,0,6
"discountlists.yaml::GET /discount-lists/{discountListId}/customer-accounts/links",6,0,6
"documents.yaml::DocHeaderRelationships",13,1,14
"documents.yaml::relToOne",0,15,15
"documents.yaml::relToOneWithMeta",0,6,6
"entityAttributes.yaml::GET /entities/{entityName}/attributes",6,0,6
"entityAttributes.yaml::GET /entities/{entityName}/attributes-definitions",6,0,6
"entityAttributes.yaml::GET /sheets/{sheetId}/survey-sections",6,0,6
"greyMarketSurvey.yaml::GreyMarketSurveyHeaderRelationships",4,1,5
"greyMarketSurvey.yaml::relToOne",0,5,5
"greyMarketSurvey.yaml::GET /grey-market-surveys/headers",7,0,7
"greyMarketSurvey.yaml::GET /grey-market-surveys/headers/{headerId}/lines",6,0,6
"hierarchies.yaml::GET /hierarchies/{hierarchyId}/hierarchy-nodes",6,0,6
"hierarchies.yaml::GET /hierarchies/{hierarchyId}/hierarchy-nodes/{nodeId}/items",6,0,6
"hierarchies.yaml::GET /hierarchies/{hierarchyId}/hierarchy-nodes/{nodeId}/items/links",6,0,6
"inventoryDoc.yaml::GET /inventory-docs/headers",7,0,7
"inventoryDoc.yaml::GET /inventory-docs/headers/{headerId}/lines",6,0,6
"inventoryDoc.yaml::GET /inventory-docs/lines",7,0,7
"inventoryDoc.yaml::POST /inventory-docs/headers-export",8,0,8
"inventoryDoc.yaml::POST /inventory-docs/lines-export",8,0,8
"items.yaml::ItemInstanceRelationships",7,2,9
"items.yaml::Asset",12,3,15
"items.yaml::DocLineInstanceRelationships",6,1,7
"items.yaml::GET /items/{itemId}/units-of-measurement",6,0,6
"items.yaml::POST /items/export",10,0,10
"items.yaml::GET /items/barcodes",7,0,7
"items.yaml::GET /items/units-of-measurement",6,0,6
"items.yaml::GET /item-instances",8,0,8
"items.yaml::GET /item-instances/assets",8,0,8
"items.yaml::POST /item-instances/assets/export",8,0,8
"items.yaml::GET /items/{itemId}/allergens",6,0,6
"items.yaml::GET /item-categories",7,0,7
"items.yaml::GET /items/{itemId}/packaging-parts",6,0,6
"items.yaml::GET /items/{itemId}/suppliers",7,0,7
"messages.yaml::GET /messages/message/{id}/return-receipts",6,0,6
"messages.yaml::GET /messages/senders",6,0,6
"payments.yaml::GET /customer-ledger-entries",7,0,7
"pricelists.yaml::PriceList",10,3,13
"pricelists.yaml::GET /price-lists/{priceListId}/customer-accounts",7,0,7
"pricelists.yaml::GET /price-lists/{priceListId}/details",6,0,6
"pricelists.yaml::GET /price-lists/{priceListId}/suppliers",7,0,7
"purchaseDoc.yaml::PurchaseDocHeaderRelationships",7,2,9
"purchaseDoc.yaml::relToOneWithMeta",0,7,7
"purchaseDoc.yaml::GET /purchase-docs/headers/{headerId}/lines",6,0,6
"salesDoc.yaml::SalesDocLineUpdateData",5,1,6
"salesDoc.yaml::GET /sales-docs/customer-accounts/sell-to",7,0,7
"salesDoc.yaml::GET /sales-docs/price-lists",7,0,7
"salesReps.yaml::apiDate",0,4,4
"salesReps.yaml::GET /sales-reps/{id}/tasks",7,0,7
"stats.yaml::SalesStatsDataset",5,1,6
"stats.yaml::relToOneWithMeta",0,6,6
"stats.yaml::GET /stats",7,0,7
"suppliers.yaml::GET /suppliers/{supplierId}/items",7,0,7
"surveyDoc.yaml::SurveyDocHeaderCreation",5,1,6
"surveyDoc.yaml::relToOne",0,17,17
"surveyDoc.yaml::GET /survey-docs/headers/{headerId}/sections",6,0,6
"surveyDoc.yaml::GET /survey-docs/headers",7,0,7
"surveyDoc.yaml::GET /survey-docs/headers/{headerId}/template-sections/{templateSectionId}/answers",6,0,6
"surveyDoc.yaml::GET /survey-docs/templates",7,0,7
"surveyDoc.yaml::GET /survey-docs/doc-types",7,0,7
"target.yaml::GET /targets",7,0,7
"tickets.yaml::relToOneWithMeta",0,5,5
"warehouseDoc.yaml::WarehouseDocLineAttributes",7,2,9
"warehouseDoc.yaml::SimpleEntity",0,8,8
"warehouseDoc.yaml::GET /warehouse-docs/headers",9,0,9
"warehouseDoc.yaml::POST /warehouse-docs/headers-export",8,0,8
"warehouseDoc.yaml::GET /warehouse-docs/headers/{headerId}/lines",6,0,6
"warehouseDoc.yaml::GET /warehouse-docs/lines",7,0,7
"warehouseDoc.yaml::POST /warehouse-docs/lines",8,0,8
"authWorkflows.yaml::EntityAuthorizationWorkflowStep",10,2,12
"authWorkflows.yaml::SimpleEntity",0,4,4
"authWorkflows.yaml::apiDateTime",0,3,3
"budgets.yaml::relToOneWithMeta",0,3,3
"cashDepositDoc.yaml::POST /cash-deposit-docs/payments",7,0,7
"clusters.yaml::Cluster",10,4,14
"clusters.yaml::POST /clusters/{id}/items/export",8,0,8
"clusters.yaml::POST /clusters/{id}/customer-accounts/export",8,0,8
"collectionDoc.yaml::CollectionDocPaymentMethod",5,1,6
"collectionDoc.yaml::POST /collection-docs/ledger-entries",7,0,7
"collectionDoc.yaml::POST /collection-docs/payments",7,0,7
"commissions.yaml::apiDate",0,7,7
"commissions.yaml::POST /commission-sessions/{id}/cut-off",7,0,7
"commissions.yaml::POST /commission-sessions/{id}/sales-doc-lines",7,0,7
